id,abn,name,effectiveDateFrom,effectiveDateTo
urn:lobbyists.ag.gov.au:76139847055,76139847055,Lyndon George Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:89412183088,89412183088,Resolution Junction,2019-11-01,
urn:lobbyists.ag.gov.au:14007098295,14007098295,Starfare Image Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:66163887885,66163887885,Global Issues Group,2019-11-01,
urn:lobbyists.ag.gov.au:13075789196,13075789196,Making The World A Better Place Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:63272133108,63272133108,The Trustee for Arthur Trust,2019-11-01,
urn:lobbyists.ag.gov.au:60093621455,60093621455,SPIER CONSULTING P/L,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,38162366056,Newgate Communications Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:91631938317,91631938317,Wells OCallaghan Watterson Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:39008566943,39008566943,Pynfall Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:14007098295,14007098295,Starfare Image Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:76139847055,76139847055,Lyndon George Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:49006518412,49006518412,"Cemdia Pty, Ltd",2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,56131702755,GRA Partners Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:21131482230,21131482230,Sanlaan Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:50445644019,50445644019,Gambaro Consulting Group,2019-11-01,
urn:lobbyists.ag.gov.au:28125233543,28125233543,Government Relations Solutions Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:69284760614,69284760614,Iain Evans as Trustee for the Iain Evans Consulting Trust,2019-11-01,
urn:lobbyists.ag.gov.au:86231566780,86231566780,The Trustee for Bespoke Business Trust,2019-11-01,
urn:lobbyists.ag.gov.au:51069838222,51069838222,The Fifth Estate Consultancy Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,26149964189,Premier State Consulting Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,71619450841,PremierNational Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:65003644657,65003644657,Michael Johnson Associates Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:36617864347,36617864347,Primary Communication Partners,2019-11-01,
urn:lobbyists.ag.gov.au:62630031355,62630031355,Enjolras Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:45631309923,45631309923,Eloquium Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,50082123822,GRACosway Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:58101934454,58101934454,Crosby Textor Research Strategies Results Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:98134890337,98134890337,Michelson Alexander Consulting,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,87145965466,Sling & Stone,2019-11-01,
urn:lobbyists.ag.gov.au:96004928652,96004928652,CMGRP Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,71595434578,PRX Unit Trust,2019-11-01,
urn:lobbyists.ag.gov.au:99153936719,99153936719,Cornerstone Group Australia Pty Ltd ,2019-11-01,
urn:lobbyists.ag.gov.au:48074671462,48074671462,Essential Media Communications,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,87145965466,Sling & Stone,2019-11-01,
urn:lobbyists.ag.gov.au:92118248892,92118248892,The Agenda Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:29626157015,29626157015,Shaw Advisory Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:63103178258,63103178258,Res Publica Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:65144079612,65144079612,Maser Defence Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:94630474207,94630474207,Brickfielder Insights Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:51364113263,51364113263,Cotterell Jannette Suzanne,2019-11-01,
urn:lobbyists.ag.gov.au:73130740546,73130740546,CMAX Communications Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:78729712484,78729712484,The Civic Group Holdings Pty Ltd and Highchair Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,56131702755,GRA Partners Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:64964952044,64964952044,Govstrat Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:67151951250,67151951250,LATAF CONSULTING ,2019-11-01,
