number,id,CODE,name,province,state,long,lat,dc,type,lastUpdate,sa3,sa3name,sa4,sa4name,region
295,urn:australiapost.com.au:postcode:822_GOULBOURNISLAND,822,GOULBOURN ISLAND,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20010,urn:australiapost.com.au:postcode:822_GOULBURNISLAND,822,GOULBURN ISLAND,urn:iso:std:iso:3166:-2:AU-NT,NT,133.4548484,-11.4973068,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20011,urn:australiapost.com.au:postcode:822_GUNBALANYA,822,GUNBALANYA,urn:iso:std:iso:3166:-2:AU-NT,NT,133.0492311,-12.34692447,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
296,urn:australiapost.com.au:postcode:822_GUNNPOINT,822,GUNN POINT,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
297,urn:australiapost.com.au:postcode:822_HAYESCREEK,822,HAYES CREEK,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20012,urn:australiapost.com.au:postcode:822_HIDDENVALLEY,822,HIDDEN VALLEY,urn:iso:std:iso:3166:-2:AU-NT,NT,130.9036719,-12.45024526,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20013,urn:australiapost.com.au:postcode:822_HOTHAM,822,HOTHAM,urn:iso:std:iso:3166:-2:AU-NT,NT,131.4058522,-12.34404225,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20014,urn:australiapost.com.au:postcode:822_HUGHES,822,HUGHES,urn:iso:std:iso:3166:-2:AU-NT,NT,131.1007772,-12.68638471,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20015,urn:australiapost.com.au:postcode:822_KAKADU,822,KAKADU,urn:iso:std:iso:3166:-2:AU-NT,NT,132.4751149,-12.8662473,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20016,urn:australiapost.com.au:postcode:822_KOOLPINYAH,822,KOOLPINYAH,urn:iso:std:iso:3166:-2:AU-NT,NT,131.2102168,-12.37090569,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20017,urn:australiapost.com.au:postcode:822_LAKEBENNETT,822,LAKE BENNETT,urn:iso:std:iso:3166:-2:AU-NT,NT,131.1944707,-12.93083352,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
299,urn:australiapost.com.au:postcode:822_LAMBELLSLAGOON,822,LAMBELLS LAGOON,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20018,urn:australiapost.com.au:postcode:822_LITCHFIELDPARK,822,LITCHFIELD PARK,urn:iso:std:iso:3166:-2:AU-NT,NT,130.8462398,-13.25317338,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
300,urn:australiapost.com.au:postcode:822_LIVINGSTONE,822,LIVINGSTONE,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20019,urn:australiapost.com.au:postcode:822_LLOYDCREEK,822,LLOYD CREEK,urn:iso:std:iso:3166:-2:AU-NT,NT,131.1457668,-12.66634037,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20020,urn:australiapost.com.au:postcode:822_MANDORAH,822,MANDORAH,urn:iso:std:iso:3166:-2:AU-NT,NT,130.7615787,-12.44295777,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
