lobbyist_id,relation,client_id,effectiveFromDate,effectiveToDate
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:29105332652,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:29105332652,2019-11-01,
urn:lobbyists.ag.gov.au:74085739046,represents,urn:abr.business.gov.au:26620488691,2019-11-01,
urn:lobbyists.ag.gov.au:26614088881,represents,urn:abr.business.gov.au:92629590585,2019-11-01,
urn:lobbyists.ag.gov.au:41317956923,represents,urn:abr.business.gov.au:101339593,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,represents,urn:abr.business.gov.au:33169157911,2019-11-01,
urn:lobbyists.ag.gov.au:51069838222,represents,urn:abr.business.gov.au:90070017784,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,represents,urn:abr.business.gov.au:39614439664,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,represents,urn:abr.business.gov.au:27126649947,2019-11-01,
urn:lobbyists.ag.gov.au:33136520548,represents,urn:abr.business.gov.au:17621679356,2019-11-01,
urn:lobbyists.ag.gov.au:78071667797,represents,urn:abr.business.gov.au:46146267790,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,represents,urn:abr.business.gov.au:83169380054,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:79101258182,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,represents,urn:abr.business.gov.au:95613985943,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:45067298088,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:45067298088,2019-11-01,
urn:lobbyists.ag.gov.au:26670042472,represents,urn:abr.business.gov.au:23135154406,2019-11-01,
urn:lobbyists.ag.gov.au:45631309923,represents,urn:abr.business.gov.au:74457506140,2019-11-01,
urn:lobbyists.ag.gov.au:35631919009,represents,urn:abr.business.gov.au:48150217262,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:47609028015,2019-11-01,
urn:lobbyists.ag.gov.au:26614088881,represents,urn:abr.business.gov.au:59001798214,2019-11-01,
urn:lobbyists.ag.gov.au:91631938317,represents,urn:abr.business.gov.au:32053705712,2019-11-01,
urn:lobbyists.ag.gov.au:64705249956,represents,urn:abr.business.gov.au:47095036909,2019-11-01,
urn:lobbyists.ag.gov.au:99003613134,represents,urn:abr.business.gov.au:47095036909,2019-11-01,
urn:lobbyists.ag.gov.au:52159456685,represents,urn:abr.business.gov.au:85107338901,2019-11-01,
