internationalCode,currency,asxCode,name,alternativeName,acn,abn,website,imageURL,marketCap2021-02-11,effectiveFromDate,effectiveToDate
,,IVC,Invocare Ltd,,,,,,$1.59 B,,
,,EVT,Event Hospitality and Entertainment Ltd,,,,,,$1.58 B,,
,,SBM,ST Barbara Ltd,,,,,,$1.58 B,,
,,AVN,Aventus Group,,,,,,$1.58 B,,
,,WEB,Webjet Ltd,,,,,,$1.57 B,,
,,WHC,Whitehaven Coal Ltd,,,,,,$1.56 B,,
,,VAF,Vanguard Australian Fixed Interest INDEX ETF,,,,,,$1.55 B,,
,,CHN,Chalice Mining Ltd,,,,,,$1.53 B,,
,,MSB,Mesoblast Ltd,,,,,,$1.52 B,,
,,EML,EML Payments Ltd,,,,,,$1.48 B,,
-,,CNI,Centuria Capital Group,,,,,,$1.47 B,,
,,PRU,Perseus Mining Ltd,,,,,,$1.45 B,,
-,,MFF,MFF Capital Investments Ltd,,,,,,$1.44 B,,
,,LIC,Lifestyle Communities Ltd,,,,,,$1.44 B,,
,,MVW,Vaneck Vectors Australian EQUAL Weight ETF,,,,,,$1.44 B,,
,,SLK,Sealink Travel Group Ltd,,,,,,$1.43 B,,
,,BKL,Blackmores Ltd,,,,,,$1.42 B,,
-,,VGAD,Vanguard MSCI INDEX International Shares (Hedged) ETF,,,,,,$1.42 B,,
,,ZIM,Zimplats Holdings Ltd,,,,,,$1.35 B,,
,,SLR,Silver Lake Resources Ltd,,,,,,$1.34 B,,
,,ZEL,Z Energy Ltd,,,,,,$1.34 B,,
-,,TPW,Temple & Webster Group Ltd,,,,,,$1.33 B,,
,,IPH,IPH Ltd,,,,,,$1.33 B,,
,,CEN,Contact Energy Ltd,,,,,,$1.32 B,,
,,LSF,L1 Long Short Fund Ltd,,,,,,$1.32 B,,
,,TYR,Tyro Payments Ltd,,,,,,$1.31 B,,
,,ING,Inghams Group Ltd,,,,,,$1.3 B,,
,,MXT,MCP Master Income Trust,,,,,,$1.29 B,,
,,AUB,AUB Group Ltd,,,,,,$1.28 B,,
,,GXY,Galaxy Resources Ltd,,,,,,$1.28 B,,
,,UWL,Uniti Group Ltd,,,,,,$1.26 B,,
,,OCL,Objective Corporation Ltd,,,,,,$1.25 B,,
,,GOLD,ETFs Metal Securities Australia Ltd,,,,,,$1.24 B,,
,,AX1,Accent Group Ltd,,,,,,$1.23 B,,
,,HMC,Home Consortium,,,,,,$1.23 B,,
,,NWS,News Corporation,,,,,,$1.21 B,,
,,LOV,Lovisa Holdings Ltd,,,,,,$1.2 B,,
,,ETHI,Betashares Global Sustainability Leaders ETF,,,,,,$1.19 B,,
,,UMG,United Malt Group Ltd,,,,,,$1.18 B,,
,,GUD,G.U.D. Holdings Ltd,,,,,,$1.18 B,,
-,,ISX,Isignthis Ltd,,,,,,$1.17 B,,
,,WLE,Wam Leaders Ltd,,,,,,$1.17 B,,
,,A200,Betashares Australia 200 ETF,,,,,,$1.17 B,,
,,TLX,TELIX Pharmaceuticals Ltd,,,,,,$1.16 B,,
,,RMS,Ramelius Resources Ltd,,,,,,$1.16 B,,
,,CKF,Collins Foods Ltd,,,,,,$1.16 B,,
,,MND,Monadelphous Group Ltd,,,,,,$1.15 B,,
,,NWH,NRW Holdings Ltd,,,,,,$1.15 B,,
,,AUI,Australian United Investment Company Ltd,,,,,,$1.14 B,,
-,,DEG,De Grey Mining Ltd,,,,,,$1.14 B,,
,,CQE,Charter Hall Social Infrastructure REIT,,,,,,$1.13 B,,
,,GMA,Genworth Mortgage Insurance Australia Ltd,,,,,,$1.12 B,,
,,JHG,Janus Henderson Group Plc,,,,,,$1.12 B,,
-,,FCL,Fineos Corporation Holdings Plc,,,,,,$1.12 B,,
,,BKI,BKI Investment Company Ltd,,,,,,$1.11 B,,
,,SZL,Sezzle Inc,,,,,,$1.11 B,,
-,,RBD,Restaurant Brands New Zealand Ltd,,,,,,$1.1 B,,
,,MAQ,Macquarie Telecom Group Ltd,,,,,,$1.08 B,,
,,URW,Unibail-Rodamco-Westfield,,,,,,$1.07 B,,
,,GNC,Graincorp Ltd,,,,,,$1.07 B,,
-,,NEA,Nearmap Ltd,,,,,,$1.06 B,,
,,HM1,Hearts and Minds Investments Ltd,,,,,,$1.06 B,,
,,ARF,Arena REIT,,,,,,$1.06 B,,
,,CUV,Clinuvel Pharmaceuticals Ltd,,,,,,$1.05 B,,
,,GOR,Gold Road Resources Ltd,,,,,,$1.05 B,,
,,GEM,G8 Education Ltd,,,,,,$1.05 B,,
,,MGX,Mount Gibson Iron Ltd,,,,,,$1.04 B,,
